delivery_time_utc,actual_price,actual_revision
2026-08-10T08:30:00Z,105.38,initial
2026-08-10T09:00:00Z,101.34,initial
2026-08-10T09:30:00Z,99.27,initial
2026-08-10T10:00:00Z,90.23,initial
2026-08-10T10:30:00Z,90.18,initial
2026-08-10T11:00:00Z,88.59,initial
2026-08-10T11:30:00Z,88.04,initial
2026-08-10T12:00:00Z,91.38,initial
2026-08-10T12:30:00Z,85.04,initial
2026-08-10T13:00:00Z,85.7,initial
2026-08-10T13:30:00Z,85.6,initial
2026-08-10T14:00:00Z,91.5,initial
2026-08-10T14:30:00Z,91.94,initial
2026-08-10T15:00:00Z,89.65,initial
2026-08-10T15:30:00Z,91.66,initial
2026-08-10T16:00:00Z,107.75,initial
2026-08-10T16:30:00Z,120.46,initial
2026-08-10T17:00:00Z,138.33,initial
2026-08-10T17:30:00Z,154.11,initial
2026-08-10T18:00:00Z,156.12,initial
2026-08-10T18:30:00Z,157.8,initial
2026-08-10T19:00:00Z,153.93,initial
2026-08-10T19:30:00Z,164.22,initial
2026-08-10T20:00:00Z,159.11,initial
2026-08-10T20:30:00Z,161.89,initial
2026-08-10T21:00:00Z,152.78,initial
2026-08-10T21:30:00Z,156.65,initial
2026-08-10T22:00:00Z,150.93,initial
2026-08-10T22:30:00Z,138.16,initial
2026-08-10T23:00:00Z,135.36,initial
2026-08-10T23:30:00Z,141.72,initial
2026-08-11T00:00:00Z,140.43,initial
2026-08-11T00:30:00Z,140.25,initial
2026-08-11T01:00:00Z,141.47,initial
2026-08-11T01:30:00Z,134.62,initial
2026-08-11T02:00:00Z,139.5,initial
2026-08-11T02:30:00Z,135.62,initial
2026-08-11T03:00:00Z,149.81,initial
2026-08-11T03:30:00Z,141.82,initial
2026-08-11T04:00:00Z,151.02,initial
2026-08-11T04:30:00Z,151.08,initial
2026-08-11T05:00:00Z,148.13,initial
2026-08-11T05:30:00Z,153.29,initial
2026-08-11T06:00:00Z,153.91,initial
2026-08-11T06:30:00Z,145.82,initial
2026-08-11T07:00:00Z,145.88,initial
2026-08-11T07:30:00Z,142.97,initial
2026-08-11T08:00:00Z,135.23,initial
2026-08-11T08:30:00Z,130.06,initial
2026-08-11T09:00:00Z,124.79,initial
2026-08-11T09:30:00Z,120.31,initial
2026-08-11T10:00:00Z,93.5,initial
2026-08-11T10:30:00Z,91.18,initial
2026-08-11T11:00:00Z,86.35,initial
2026-08-11T11:30:00Z,88.06,initial
2026-08-11T12:00:00Z,86.36,initial
2026-08-11T12:30:00Z,85.35,initial
2026-08-11T13:00:00Z,84.74,initial
2026-08-11T13:30:00Z,90.15,initial
2026-08-11T14:00:00Z,95.69,initial
2026-08-11T14:30:00Z,90.45,initial
2026-08-11T15:00:00Z,92.59,initial
2026-08-11T15:30:00Z,92.83,initial
2026-08-11T16:00:00Z,142.41,initial
2026-08-11T16:30:00Z,135.39,initial
2026-08-11T17:00:00Z,164.46,initial
2026-08-11T17:30:00Z,164.3,initial
2026-08-11T18:00:00Z,176.28,initial
2026-08-11T18:30:00Z,181.11,initial
2026-08-11T19:00:00Z,179.85,initial
2026-08-11T19:30:00Z,181.1,initial
2026-08-11T20:00:00Z,167.94,initial
2026-08-11T20:30:00Z,159.56,initial
2026-08-11T21:00:00Z,155.8,initial
2026-08-11T21:30:00Z,139.49,initial
2026-08-11T22:00:00Z,134.28,initial
2026-08-11T22:30:00Z,129.06,initial
2026-08-11T23:00:00Z,128.47,initial
2026-08-11T23:30:00Z,128.59,initial
2026-08-12T00:00:00Z,137.29,initial
2026-08-12T00:30:00Z,129.26,initial
2026-08-12T01:00:00Z,123.49,initial
